judul,sub_judul,isi,tanggal,jam,kategori,link
Seknas Fitra: Makan Bergizi Gratis Belum Dongkrak Pertumbuhan Ekonomi,Karena memaksakan Makan Bergizi Gratis pemerintah berpeluang mengeliminasi program-program prioritas lain yang tak kalah penting.,"TEMPO.CO,Jakarta-Sekretariat Nasional Forum Indonesia untuk Transparansi Anggaran (Seknas Fitra) mengkritik programMakan Bergizi Gratis(MBG) yang diproyeksikan menelan biaya hingga Rp 217,8 triliun. Dengan anggaran sebesar itu, program ini dinilai belum mampu mendorong pertumbuhan ekonomi yang stagnan di angka 4,87 persen pada kuartal I 2025.""Program MBG yang digadang akan memberikan multiplier effect pada sektor UMKM, petani, peternak dan nelayan justru belum dapat mendongkrak pertumbuhan ekonomi,"" ujar Sekretaris Jenderal Seknas Fitra, Misbah Hasan, dalam diskusi yang disiarkan secara daring, Jumat, 23 Mei 2025.

Misbah menilai pemerintah perlu legawa mengakui masih banyak persoalan dalam pelaksanaan program ini. Dengan pengakuan itu, pemerintah bisa segera melakukan evaluasi dan perbaikan, bahkan menghentikan program jika terbukti tidak efektif. Apalagi menurutnya program ini sudah mengambil porsi terbesar dalam struktur belanja Anggaran Pendapatan dan Belanja Negara (APBN) 2026.

Ia menyebut MBG sebagai kebijakan yang 'jauh panggang di atas api dari prinsip produktif'. Alih-alih memberi dampak nyata, beban anggaran yang besar justru mempersempit ruang fiskal pemerintah.

Menurut Misbah, karena terlalu dipaksakan, program MBG berpotensi mengorbankan program-program prioritas lain yang tak kalah penting seperti pembangunan infrastruktur, upaya mitigasi perubahan iklim, dan layanan dasar bagi masyarakat.

Ia juga menyoroti indikasi pemborosan anggaran. Dalam Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM-PPKF) 2026, pemerintah semestinya mendorong efisiensi dan peningkatan belanja produktif. Semangat itu telah ditegaskan dalam Instruksi Presiden Nomor 1 Tahun 2025, namun implementasi kebijakan belanja justru belum sepenuhnya sejalan dengan prinsip produktif, efektif, dan efisien.",24 Mei 2025,17.24 WIB,Bisnis,https://www.tempo.co/ekonomi/seknas-fitra-makan-bergizi-gratis-belum-dongkrak-pertumbuhan-ekonomi-1533866
"Hingga 21 Mei, Anggaran Makan Bergizi Gratis Sudah Cair Rp 3 Triliun","Hingga 21 Mei 2025 kementerian keuangan telah menggelontorkan Rp 3 triliun untuk makan bergizi gratis. Dana MBG naik tajam, target melonjak lima kali.","TEMPO.CO,Jakarta- Wakil Menteri Keuangan Suahasil Nazara melaporkan anggaran yang sudah cair untukMakan Bergizi Gratis(MBG) sebesar Rp 3 triliun. Dana MBG dibayarkan dengan menggunakan anggaran pendapatan dan belanja negara (APBN) 2025.

Realiasi anggaran MBG itu dilaporkan Suahasil di tengah publikasi APBN periode April 2025. “Sampai dengan 21 Mei 2025 telah dicairkan Rp 3 triliun,” ucap Suahasil dalam Konferensi Pers APBN bulanan di kantor Kementerian Keuangan, Jumat, 23 Mei 2025.

Dalam konferensi pers bulan lalu, Suahasil melaporkan realisasi pencairannya baru mencapai Rp 2,3 triliun. Penggunaan dana MBG telah menjangkau penerima manfaat di antaranya pra Sekolah Dasar, SD, SMP, SMA, Pondok Pesantren, SLB, balita dan ibu hamil. Jumlah total penerima hingga 21 Mei 2025 sebanyak 3,97 juta orang. Sementara itu, jumlah Satuan Pelayanan Pemenuhan Gizi (SPPG) yang telah beroperasi sebanyak 1.386.

Mulanya anggaran untuk MBG pada 2025 dialokasikan sebesar Rp 71 triliun. Namun setelah Presiden Prabowo Subianto menginstruksikan penambahan penerima manfaat, anggaran ditambah Rp 100 triliun lagi sehingga total Rp 171 triliun untuk tahun ini.

Sebelumnya, makan bergizi gratis menyasar 17,9 juta orang penerima manfaat sepanjang 2025. Terdiri dari 15,5 juta anak sekolah dan 2,4 juta orang ibu hamil, menyusui, dan balita. Target tersebut lalu dinaikkan mencapai total 82,9 penerima hingga akhir 2025, sehingga perlu tambahan dana.",23 Mei 2025,16.11 WIB,Bisnis,https://www.tempo.co/ekonomi/hingga-21-mei-anggaran-makan-bergizi-gratis-sudah-cair-rp-3-triliun-1523916
Korban Keracunan MBG Lebih Besar dari Klaim Prabowo,Tim Cek Fakta Tempo menemukan angka keracunan dalam program makan bergizi gratis mencapai 1.205 orang. Lebih besar dari klaim Prabowo.,"TEMPO.CO,Jakarta-PRESIDEN Prabowo Subianto mengklaim angka kasus keracunan program makan bergizi gratis (MBG) di bawah 200 orang. Persentase keracunan tersebut dianggapnya lebih kecil dibandingkan angka penerima manfaat yang mencapai hampir 3 juta orang. Kata Prabowo, kasus keracunan hanya 0,005 persen dari total penerima manfaat.

Prabowo mengulas pelaksanaan makan siang gratis itu dalam sidang kabinet paripurna di Kompleks Istana Negara, Jakarta, Senin, 5 Mei 2025. ""Dari 3 koma sekian juta, kalau tidak salah di bawah 200 orang (yang keracunan),"" kataPrabowodalam pidatonya.

Badan Gizi Nasional (BGN)memulai makan bergizi gratis (MBG) pada 6 Januari 2025 secara bertahap melalui Satuan Pelayanan Pemenuhan Gizi (SPPG). Pemerintah telah mengalokasikan anggaran sebesar Rp 71 triliun dalamAPBN 2025untuk mendanai proyek tersebut dengan target 19,47 juta penerima manfaat. Proyek MBG menyasar peserta didik mulai dari jenjang pendidikan anak usia dini hingga sekolah menengah atas atau sederajat, balita, ibu hamil, dan ibu menyusui.

Kepala Badan Gizi NasionalDadan Hindayana menjelaskan, hingga 5 Mei 2025, ada 1.286 SPPG yang aktif beroperasi dengan penerima manfaat MBG sebanyak 3.506.941 orang.

Namun muncul sejumlah kasus peserta didik dan guru keracunan setelah mengkonsumsi menu MBG. Kasus pertama terjadi di Kabupaten Nunukan, Kalimantan Utara, pada 16 Januari 2025. Sebanyak 59 siswa dariSDN 03danSMAN 02Nunukan Selatan mengalami mual dan diare usai menyantap ayam kecap. Setelah itu, kasus-kasus keracunan terus terjadi di banyak daerah.

Tim Cek Fakta Tempo menghitung data kasus keracunan MBG tersebut dengan mengumpulkan dan menganalisis pemberitaan media nasional dan lokal yang kredibel, sejak 6 Januari hingga 15 Mei 2025. Dari pemberitaan tersebut, Tim Cek Fakta memilah menjadi nama provinsi, kabupaten atau kota, nama sekolah, dan jumlah mereka yang mengalami keracunan. Selain itu, Tim Cek Fakta juga mengumpulkan data mengenai gejala yang dialami, penyebab keracunan, dan tindakan yang dilakukan terhadap para korban.",23 Mei 2025,14.10 WIB,Politik,https://www.tempo.co/politik/korban-keracunan-mbg-lebih-besar-dari-klaim-prabowo-1523873
"Sejumlah Titik Kritis dalam Program MBG, Menurut BPOM",Kepala BPOM mendorong keterlibatan instansinya di semua tahapan pengelolaan MBG sebagai upaya mengawal ketat aspek keamanan dan mutu pangan.,"KOMISI IX DPR mendesak Badan Pengawas Obat dan Makanan (BPOM) dan Badan Gizi Nasional (BGN) mengimplementasikan secara menyeluruh kesepakatan dalam nota kesepahaman (MoU) yang telah ditandatangani kedua belah pihak, termasuk perihal program Makan Bergizi Gratis atauMBG.

Komisi yang antara lain membidangi kesehatan itu menyampaikan hal tersebut dalam rapat dengar pendapat dengan BPOM dan BGN pada Rabu, 21 Mei 2025. Rapat tersebut bertujuan membahas mengenai titik krusial pada aspek keamanan pangan dan penerapan standar Satuan Pelayanan Pemenuhan Gizi (SPPG), sekaligus mendiskusikan solusi yang efektif dan efisien dalam menjamin keamanan pangan pada program MBG.

Menurut Komisi IX, kolaborasi yang perlu segera ditindaklanjuti terutama dalam sistem deteksi dini dan tanggap darurat pangan. Hal ini termasuk mencegah terjadinya kejadian luar biasa (KLB) keracunan pangan serta memberikan edukasi keamanan pangan bagi pihak sekolah dan masyarakat penerima manfaat MBG.

BPOM menyatakan terdapat sejumlah titik kritis yang harus diperhatikan guna memastikan pengendalian bahaya, deteksi dini, dan tindakan korektif pada seluruh rantai penyiapan makanan program MBG.

Dalam keterangan yang diterima di Jakarta pada Kamis, 22 Mei 2025, seperti dikutip dariAntara,Kepala BPOM Taruna Ikrar menyebutkan titik-titik tersebut mulai dari penerimaan bahan baku dan wadah makanan, penyimpanan bahan baku, proses pengolahan, penetapan porsi dan pengemasan, distribusi, pengawasan pihak sekolah sampai ke pencucian, pengeringan, dan penyimpanan wadah makanan.

Dia ingin Sarjana Penggerak Pembangunan Indonesia (SPPI) memahami pentingnya pencucian, pengeringan, dan penyimpanan wadah. “Kenapa perusahaan pangan harus menerapkan cara produksi pangan olahan yang baik (CPPOB) dan penyajian itu saklek kita berikan? Karena kita tidak ingin konsumen yang datang dan makan, keracunan. Maka dari itu, kita akan bekali di seluruh titik kritis ini,” ujarnya.

Taruna mendorong keterlibatan BPOM di semua tahapan pengelolaan MBG sebagai upaya mengawal ketat aspek keamanan dan mutu pangan. Menurutnya, ada sejumlah hasil analisis akar penyebab keracunan pangan pada program MBG. Beberapa potensi penyebab keracunan, yaitu kontaminasi silang, baik dari bahan mentah, lingkungan, maupun penjamah pangan selama proses pengolahan pangan.

Risiko lain, kata dia, adalah pertumbuhan dan perkembangbiakan bakteri, karena ketidaksesuaian suhu dan waktu penyiapan serta kondisi dan proses pengolahan pangan. Kegagalan pengendalian keamanan pangan juga menjadi potensi penyebab, seperti pada aspek higiene dan sanitasi, suhu, praktik penanganan pangan, serta pengawasan dan monitoring yang dilakukan.

Menurut dia, upaya pencegahan kejadian MBG perlu mengedepankan tindakan preventif dalam penerapan keamanan pangan pada sarana produksi pangan olahan siap saji. “Keamanan pangan yang terjamin akan memastikan bahwa makanan yang diberikan tidak hanya memenuhi kebutuhan gizi, tetapi juga bebas dari kontaminasi yang dapat membahayakan kesehatan,” kata Taruna.

Karena itu, pihaknya berkomitmen mengoptimalkan keterlibatan pengawasan BPOM, terutama dari segi kesiapan sumber daya manusia yang akan terjun langsung dalam proses pengawasan di lapangan.

“BPOM akan mengupayakan peningkatan kompetensi dan kapasitas pelaku penyedia pangan serta SPPI dengan memberikan pendampingan dan pelatihan teknis yang telah diramu BPOM melalui kurikulum pelatihan berisi materi tentangfood safety and hygiene,” ujarnya.

Taruna juga berkomitmen terus bersinergi dengan BGN maupun instansi lainnya dalam mengakselerasi dan memperkuat kualitas pelaksanaan MBG. Yang paling penting, menurut dia, mendorong pemerintah segera menghadirkan aturan yang menaungi upaya BPOM beserta instansi lain yang terlibat dalam menyukseskan program MBG.

“Payung hukum tersebut dibutuhkan untuk memperjelas pembagian peran dari masing-masing instansi dan memastikan setiap pihak dapat menjalankan perannya secara optimal,” ujarnya.

Adapun BGN menyatakan pihaknya telah melakukan beberapa langkah korektif-preventif terhadap kejadian keracunan makanan MBG, mulai dari pemilihan bahan baku yang selektif hingga penerapan protokol keamanan saat proses pengantaran makanan dari SPPG ke sekolah.

Kepala BGN Dadan Hindayana menyebutkan tiap SPPG diharuskan menerapkan beberapa standar, yaitufood flowyang sesuai prinsiphazard analysis and critical control point(HACCP), higiene dapur, manajemen yang efektif dan efisien (lean management), serta kapasitas semiindustri.

“Dari lapangan kemarin, harus kitaupgrade, karena kalau katering masih terlalu sederhana, sehingga harus mengikuti standar yang kita tetapkan, termasuk ruangan-ruangan untuklean management, di mana ada barang masuk, kemudian penyimpanan basah, penyimpanan kering, refrigerator, dan seluruh peralatan, misalnya talenan untuk daging tidak boleh digunakan untuk sayur. Jadi masing-masing ada peruntukannya, termasuk pisau dan lain-lain,” kata dia dalam keterangan yang diterima di Jakarta, Kamis.

Dadan mengatakan, di lokasi penerimaan pangan atau sekolah, juga telah ditetapkan batas toleransi waktu antara makanan diterima dan waktu maksimal untuk dapat dikonsumsi, mekanisme distribusi di sekolah, termasuk penyimpanan dan penyerahan kepada siswa dan kewajiban uji organoleptik atau uji tampilan, aroma, rasa, dan tekstur terhadap makanan sebelum dibagikan.

“BGN juga melakukan penyegaran dan pelatihan terhadap penjamah makanan secara rutin,” katanya.

Ervana TrikarinaputridanAntaraberkontribusi dalam penulisan artikel ini.

Pilihan editor:Pro Kontra Pelantikan Muhammad Iqbal sebagai Sekjen DPD",23 Mei 2025,10.13 WIB,Politik,https://www.tempo.co/politik/sejumlah-titik-kritis-dalam-program-mbg-menurut-bpom-1523799
Bos BGN Membantah Raffi Ahmad Kelola 300 Dapur Makan Bergizi Gratis,Kabar Raffi Ahmad mendapatkan jatah mengelola ratusan dapur makan bergizi gratis sebelumnya beredar di media sosial X.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana menepis kabar pekerja seniRaffi Ahmadmengelola 300 dapur dalam proyekMakan Bergizi Gratis(MBG) di Banten.

“Raffi Ahmad menyatakan bahwa ia tidak terlibat sama sekali dalam proyek dapur MBG maupun berafiliasi dengan mitra pelaksana mana pun,” kata Dadan dalam keterangan tertulis, Kamis, 22 Mei 2025.

Kabar Raffi Ahmad mendapatkan jatah mengelola ratusan dapur makan bergizi gratis beredar di media sosial X. Dadan mengaku dirinya tidak mengetahui dan kaget ketika mendapatkan pertanyaan ihwal kabar tersebut.

“Untuk memastikan, saya tadi menghubungi langsung Raffi Ahmad guna mengonfirmasi apakah dirinya mungkin berafiliasi dengan salah satu mitra pelaksana,” ujar Dadan.

Ia mengatakan informasi beredar yang menyebutkan utusan khusus presiden tersebut mendapatkan ratusan proyek untuk mengelola dapur tidak benar dan tidak berdasar. Ia memastikan penunjukan pelaksana kegiatan proyek makan bergizi gratis dilakukan melalui mekanisme yang terbuka dan bisa diaudit.",22 Mei 2025,19.30 WIB,Bisnis,https://www.tempo.co/ekonomi/bos-bgn-membantah-raffi-ahmad-kelola-300-dapur-makan-bergizi-gratis-1513999
Sekjen Kemendagri Instruksikan Percepatan Lahan MBG,Sekjen Kemendagri Tomsi Tohir instruksikan Pemda percepat penyediaan lahan untuk sukseskan program Makan Bergizi Gratis (MBG).,"INFO NASIONAL - Sekretaris Jenderal Kementerian Dalam Negeri (Sekjen Kemendagri)Tomsi Tohirsecara tegas menginstruksikan seluruh pemerintah daerah (Pemda) di Indonesia untuk mempercepat proses penyediaan lahan demi mendukung kelancaran pelaksanaan program prioritas nasionalMakan Bergizi Gratis (MBG). Instruksi ini disampaikan menyusul arahan dari Menteri Dalam Negeri Tito Karnavian dan Kepala Badan Gizi Nasional (BGN) Dadan Hindayana dua pekan sebelumnya.

Rapat koordinasi ini digelar secara hybrid dari Kantor Pusat Kemendagri di Jakarta, pada Kamis, 22 Mei 2025. Tomsi menyampaikan bahwa percepatan pengajuan data lokasi lahan sangat krusial untuk memastikan program MBG dapat segera dimulai di seluruh wilayah Indonesia. Setiap Pemda diminta mengajukan maksimal 10 opsi lokasi yang bisa dijadikan sebagai Satuan Pelayanan Pemenuhan Gizi (SPPG), yang akan berfungsi sebagai dapur umum MBG.

“Data tersebut sangat diperlukan bagi BGN, karena dari data-data itu kan harus dicek lagi. Harus dicek lagi mana yang layak dan mana yang tidak layak,” ujar Tomsi.

Batasan maksimal 10 lokasi ini, menurut Tomsi, dimaksudkan agar tersedia alternatif jika salah satu lokasi dinilai tidak memenuhi syarat. Hal ini juga akan memudahkan proses adaptasi terhadap kondisi di lapangan serta penyesuaian anggaran di masing-masing daerah. Ia menegaskan, ketersediaan lahan menjadi aspek fundamental, terlebih bagi wilayah 3T (Tertinggal, Terdepan, dan Terluar), yang seringkali menghadapi kendala dalam pelaksanaan program-program pusat.

“Program ini punya target besar. Pemerintah berharap setidaknya 1.542 dapur MBG sudah bisa dibentuk pada Agustus tahun ini. Jadi kita harus gerak cepat,” kata Tomsi.",22 Mei 2025,18.44 WIB,,https://www.tempo.co/info-tempo/sekjen-kemendagri-instruksikan-percepatan-lahan-mbg-1513993
"Badan Gizi Nasional jadi Instansi dengan Pagu Anggaran Terbesar di 2026, Kelola Rp 217,8 Triliun",Badan Gizi Nasional kelola anggaran terbanyak dari seluruh K/L pada 2026,"TEMPO.CO,Jakarta- Pemerintah telah menetapkan pagu indikatif atau perkiraan awalanggarankementerian/lembaga (K/L) tahun 2026. Dari 98 K/L yang ada,Badan Gizi Nasionalditetapkan mendapat alokasi anggaran terbesar, yakni Rp 217,86 triliun.

Lembaga tersebut mengelolaMakan Bergizi Gratis(MBG) yang menjadi salah satu program unggulan Presiden Prabowo Subianto. Menteri Keuangan Sri Mulyani Indawati menyampaikan bahwa tahun depan program ini bakal diperkuat. “Pada tahun 2026 MBG terus diperkuat hingga dapat melayani seluruh 82,9 juta potensi penerima manfaat melalui 30 ribu unit satuan pelayanan pemenuhan gizi,” ucapnya di sidang paripurna DPR, Senin, 20 Mei 2025.

Bendahara negara mengatakan MBG didorong untuk memberikan dampak pada pertumbuhan ekonomi. “Program ini dilaksanakan dengan melibatkan lembaga pendidikan, pelaku usaha, dan komunitas lokal untuk menjaga efektivitas, akuntabilitas, dan memaksimalkan multiplier atau efek pengganda di bidang ekonomi,” ucapnya.

Dalam Anggaran Pendapatan dan Belanja Negara (APBN) 2025, MBG mendapat anggaran Rp 71 triliun. Pemerintah kemudian memutuskan menambah anggaran lagi sebesar Rp 100 triliun sehingga dana yang dikelola Badan Gizi Nasional (BGN) pada tahun ini mencapai Rp 171 triliun.

Berdasarkan dokumen Kerangka Ekonomi Makro dan Pokok-Pokok Kebijakan Fiskal (KEM-PPKF) 2026, tertulis BGN diajukan mengelola dana Rp 217,86 triliun. Dari alokasi yang diajukan tersebut, sebesar Rp 7,45 triliun digunakan untuk program dukungan manajemen. Lalu sisanya sebesar Rp 210,4 triliun untuk program pemenuhan gizi nasional.",22 Mei 2025,14.21 WIB,Bisnis,https://www.tempo.co/ekonomi/badan-gizi-nasional-jadi-instansi-dengan-pagu-anggaran-terbesar-di-2026-kelola-rp-217-8-triliun-1513839
BGN Tambah 294 SPPG untuk Makan Bergizi Gratis pada 29 Mei,"Hingga hari ini, ada 1.397 SPPG yang aktif beroperasi. Sedangkan penerima manfaat makan bergizi gratis tercatat sebanyak 3.979.954 orang.","TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional Dadan Hindayana menargetkan penambahan Satuan Pelayanan Pemenuhan Gizi (SPPG) untuk proyekmakan bergizi gratisatau MBG pada akhir Mei 2025.

Dadan menyebut ada sekitar 294 SPPG baru yang akan beroperasi per 29 Mei 2025. Sementara estimasi total tambahan penerima manfaat MBG sebanyak 882 ribu orang. “Sehingga total SPPG yang akan ada di tanggal 29 Mei kurang lebih 1.691 dan sudah akan melayani 4,8 juta penerima manfaat,” kata Dadan dalam rapat dengar pendapat dengan Komisi IX DPR RI di Kompleks Parlemen Senayan, Jakarta, pada Rabu, 21 Mei 2025.

Dadan menyampaikan, hingga hari ini, ada 1.397 SPPG yang aktif beroperasi. Sedangkan penerima manfaat tercatat sebanyak 3.979.954 orang. Angka tersebut tak mencapai target yang disampaikan Badan Gizi Nasional dalam rapat kerja bersama DPR pada Selasa, 6 Mei 2025 lalu. Kala itu, Dadan menyatakan per 14 Mei akan ada kurang lebih 1.505 SPPG yang bakal melayani kurang lebih 4.163.941 penerima manfaat.

Program Makan Bergizi Gratis–sebelumnya disebut makan siang gratis—selalu digaungkan Presiden Prabowo Subianto sejak masa kampanye pemilihan presiden 2024. Ia berulang kali mengucap janji pelaksanaan makan siang gratis saat debat calon presiden dan dalam kampanye akbar pada 10 Februari 2024 lalu.

Selama masa kampanye, Tim Kampanye Nasional Prabowo-Gibran Rakabuming Raka memperkirakan kebutuhan anggaran MBG sebesar Rp 450 triliun per tahun dengan asumsi harga satu porsi makanan Rp 15 ribu. Program MBG direncanakan akan menyasar lebih dari 80 juta penerima.",21 Mei 2025,17.12 WIB,Pendidikan,https://www.tempo.co/politik/bgn-tambah-294-sppg-untuk-makan-bergizi-gratis-pada-29-mei-1503905
REI: Program 3 Juta Rumah Dukung Efektivitas Makan Bergizi Gratis,Ketua Umum REI Joko Suranto menyampaikan pentingnya realisasi program 3 juta rumah. Apa saja?,"TEMPO.CO,Jakarta- Ketua Umum Real Estate Indonesia (REI) Joko Suranto mengatakan, bila terealisasi, program3 juta rumahakan mendukung keberhasilan program makan bergizi gratis (MBG). Pasalnya, menurut dia, MBG akan berjalan efektif ketika anak-anak tinggal di rumah yang sehat. “Bayangkan, di sekolah makan bagus. Begitu di rumah, tidak mendapatkan kondisi layak, muntah-muntah, hilang semua gizinya itu,” ujar Joko dalam rapat dengar pendapat umum (RDPU) dengan Komisi V DPR di Gedung Parlemen Senayan, Selasa, 20 Mei 2025.

Joko mengatakan program 3 juta rumah merupakan program penting. REI pun menyatakan dukungannya terhadap program gagasan Presiden Prabowo Subianto itu. Terlebih, kata Joko, program perumahan bisa menyerap tenaga kerja dengan estimasi sekitar 13 juta hingga 19 juta. Selain itu, bisa mengurangi kemiskinan sebesar 7,8 persen.

Tak cuma itu, Joko menuturkan, sektor perumahan bisa menggerakkan ratusan sektor industri pendukung. Program juta rumah bisa memicu tumbuhnya pabrik material bangunan, seperti batu bata, di daerah-daerah. Ia menilai pertumbuhan itu akan sejalan dengan pembukaan lapangan kerja baru. “Properti bisa menjadi alat pertumbuhan ekonomi,” kata Joko. “REI mendukung penuh program Presiden Prabowo dan peta jalan dari Satgas Perumahan.”

Joko juga menyampaikan program perumahan terealisasi karena kebutuhan masyarakat terhadap hunian akan bertambah. Pasalnya, penduduk perkotaan yang saat ini mencapai 56 persen diperkirakan tumbuh menjadi 66 persen pada 2035. “Kita akan menghadapi masalah besar kalau tidak ada desain bagaimana pengadaan perumahan layak yang terjangkau dari sekarang,” ujarnya.

Sebelumnya, Menteri Perumahan dan Kawasan Permukiman (PKP) Maruarar Sirait menyatakan optimistis program 3 juta rumah per tahun terealisasi. Program yang digagas Presiden Prabowo Subianto itu berupa program 1 juta rumah di perkotaan, 1 juta rumah di perdesaan, dan 1 juta rumah di pesisir.

Program tersebut mencakup pembangunan rumah dan renovasi rumah tidak layak huni. “Nanti kalau tidak tidak tercapai, saya siap perintah Presiden Prabowo sebagai pimpinan saya. Saya mau direshuffle itu juga hak beliau,” kata Ara dalam forum rapat bersama Komisi V DPR RI di Gedung Parlemen Senayan pada Senin, 19 Mei 2025. “Apapun saya terima.”

Pilihan editor:Pengusaha Menahan Ekspansi Bisnis. Mengapa?",20 Mei 2025,23.38 WIB,Bisnis,https://www.tempo.co/ekonomi/rei-program-3-juta-rumah-dukung-efektivitas-makan-bergizi-gratis-1494038
Kata 'Hanya' bagi Prabowo Subianto,Katahanyayang digunakan Presiden Prabowo mengabaikan fakta bahwa korban makan bergizi gratis adalah manusia.,"KASUSkeracunan makanandalam programmakan bergizi gratis(MBG) terjadi beberapa kali. Dalam sidang kabinet pada 5 Mei 2025,Presiden Prabowo Subiantoberkomentar: “Hari ini, memang, ada yang keracunan. Yang keracunan sampai hari ini dari tiga koma sekian juta kalau tidak salah di bawah 200 orang. Yangnginep, yang rawat inap, hanya lima orang.”",18 Mei 2025,08.30 WIB,Bahasa,https://www.tempo.co/kolom/keracunan-mbg-prabowo-subianto--1472068
